翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
pc220,ジョバンニ,,カレルレンの作った「鎖」か。,Но эти цепи слишком слабы.,是卡列伦做的“锁链”啊。,"카렐렌이 만든 ""자물쇠""인가…",
,,,これを解く方法は……,"Этого будет недостаточно, чтобы остановить меня.",解开它的方法……,이걸 열 방법은……,
pc221,ジョバンニ,,――よし、完全掌握成功！,Я внутри! У меня полный доступ!,——好，完全掌握成功！,"……좋아, 완전 장악에 성공했어!",ルビ削除（240820）
pc222,車掌,,切符をください。,"Ваш билет, пожалуйста.",请出示车票。,표를 보여 주십시오.,
pc223,ジョバンニ,,僕、切符は持っていません,У меня… нет билета.,我没有车票……,표가 없는데요.,
pc224,車掌,,持っているはずですよ。,"Разве, сынок?",你应该有的。,가지고 계실 겁니다.,
,,,探ってご覧なさい。,"Может, проверишь ещё раз.",在身上找找看吧。,찾아 보십시오.,
pc259,エーミール,**:**,ジョバンニ聞いてくれ、,"ВЫСЛУШАЙ МЕНЯ, ДЖОВАННИ!!",乔班尼！跟你说个超级震惊,"조반니, 들어다오,",
,,,驚愕だ！！\I[7],У МЕНЯ КРИЗИСНАЯ СИТУАЦИЯ!!!!!,的事情！！\I[7],경악할 일이 벌어졌다!\I[7],
pc260,エーミール,**:**,いつものように筋トレを,"Короче, я делал свою обычную",我刚刚像平常一样做重训，,늘 하던 근육 운동 후,
,,,していたら、,"тренировку, но по",,돌아오는 길에,
,,,帰りにシャツのボタンが,"дороге домой, одна из моих",结果回去路上衬衫的扣子,셔츠 단추가 튀어나가는,
,,,はじけてしまった……………,пуговиц просто отлетела,竟然爆开了………………,사고가 벌어졌지…,
,,,鍛えすぎも困ったものだな,… ПИУ!!!!!!!!,看来锻炼过度也不好啊！！,너무 근육을 키워도,
,,,！！！！！,Тяжело быть таким,！！！！！,문제가 생기는군!!!!,
,,,でも楽しいから、,"накачанным, но я знаю, тебе бы",不过健身很好玩的，,"그래도 재미있으니,",
,,,君も寮のジムに通うべきだ,тоже понравилось качаться!!!,你也应该常来宿舍健身房,너도 기숙사 헬스장에,
,,,ぞ！！！！,ДАВАЙ НАКАЧАЕМСЯ!!!!!!!!!,锻炼身体！！！！,다녀보도록!!!!!,
,,,送ったウェアは着ているか,"кстати, ты носишь ту",上次给你送的衣服穿了吗？,보내준 옷은,
,,,な？,"одежду, что я тебе прислал???",,잘 입고 있겠지?,
pc261,,,食堂へ急ごう。,Мне нужно спешить в столовую.,抓紧去食堂吧。,서둘러 식당으로 향하자.,
pc262,,,どうにかして食事に,Нужно попытаться достать немного еды,我得想点办法吃到东西才行……,무슨 수를 써서든,
,,,ありつかないと……,как-нибудь…,,식사를 해결해야 하는데…,
todo_pc500,,,通路の掃除Ｒを,Мне нужно найти способ разобраться с,想办法解决通道里的清洁R吧。,통로에 있는 청소용 R을,
,,,なんとかする方法を探そう。,этими Клин-Рами...,,치울 방법을 찾아보자.,
todo_pc501,,,エントランスを目指そう。,Мне нужно двигаться к выходу.,往门厅去吧。,입구를 찾자.,
todo_pc502,,,もうすぐ解放される、のか……？,"Очень надеюсь, мы скоро отсюда выберемся.",就快能出去了……？,이제 빠져나갈 수 있으려나......?,
todo_pc503,,,どうにかして,Я должен как-то убраться от этого,得想点办法，,무슨 수를 써서라도,
,,,マスク野郎から逃げなきゃ。,урода в маске.,逃离那个戴面罩的。,마스크 쓴 저 녀석에게서 벗어나야 해.,
todo_pc504,,,ここは……？,Что это за место...?,这里是……？,여기는 어디지......?,
todo_pc505,,,進もう。,Мне нужно продолжать идти.,前进吧。,가자.,
todo_pc506,,,この部屋、もしかして……,Эта комната... Неужели?,这个房间，该不会是……,이 방은 설마......,
todo_pc507,,,ともかく、こいつを調べよう。,Надо бы рассмотреть это поближе.,总而言之，仔细看看这东西吧。,아무튼 이걸 조사해 보자.,
todo_pc508,,,そろそろ、エントランスホールを,"Если мы скоро не найдём выход, дела",时间差不多了，,슬슬 입구 홀을,
,,,探さなきゃ。,"станут дрянь. Надеюсь, он где-то",该认真找门厅的位置了。,찾아야겠어.,
,,,この近くにあるかな？,здесь поблизости...,是在这附近吗？,근처에 있을까?,
todo_pc509,,,一体、何が……？,Какого...?,到底发生了什么……？,대체 뭐였지......?,
todo_pc510,,,エントランスホールを探そう。,Мне нужно найти главный вход.,去找门厅吧。,입구 홀을 찾자.,
todo_pc511,,,……,...,……,......,
todo_pc512,,,母さん。僕も愛してる。,"Я тоже люблю тебя, мама.",妈妈。我也爱你。,"나도 사랑해, 엄마.",
todo_pc513,,,銀河鉄道……,Галактическая Железная Дорога...,银河铁道……,은하철도......,
,,,こんな巨大な設備、,"Каким, чёрт возьми, образом такое огромное место",这么大的设备，,어떻게 카렐렌 눈을 피해,
,,,どうやってカレルレンから,работает прямо под носом у Кареллена?,到底是怎么瞒过卡列伦的？,이렇게 거대한 설비를,
,,,隠してるんだろう？,"Оно слишком большое, чтобы его спрятать...",,숨길 수 있었을까?,
pc344,,,！！　イエハトブ……！！,Ихатов...!,！！伊哈托夫……！！,......!! 예하토브......!!,
,,,……やっぱり、このPCの持ち主は……,Так этот ПК... Его?,……这电脑的主人，果然是……,"......역시, 이 PC의 주인은......",
pc263,,,パスワード……思いつかないな。どうしよう。,Какой же там может быть пароль...?,密码……？想不到啊，怎么办……,암호...... 생각이 안 나. 어쩌지?,
pc264,,,ヒント：「Solus cum tessera intrare potest.」,Подсказка: «Solus cum tessera intrare potest.»,"提示：""Solus cum tessera intrare potest.""","힌트: ""Solus cum tessera intrare potest.""",
pc265,,,マップへ,Посмотреть карту,返回地图,나간다,
pc266,,,起動する,Загрузить систему,启动,기동,
pc267,,,これは……もしかしてR-codeか？　それにしては短すぎるけど……,"Кажется, коротковато для R-кода...",这……难道是R-code？是的话也太短了……,이건…… 설마 R-codes? 보던 것과는 많이 짧은데……,
pc267a,,,これ……本当にR-codeか？　短すぎるけど……,"Кажется, коротковато для R-кода...",这……真的是R-code吗？也太短了吧……,이건…… R-codes? 너무 짧은데……,
pc267b,,,R-ticketだ……これを使えってことか？,"Он что, говорит мне использовать R-билет?",是R-ticket的图标……这是要我用它？,R-ticket…… 이걸 사용하라 그건가?,
,,,あの野郎……,Вот ублюдок...,那个混蛋……,그 자식……,
pc267c,,,……なんだあれ……？,"Э-э, что это за хрень...?",……那是什么东西啊？,이건 뭐지……?,
pc267d,,,……絶対クリックしたくない……,Не хочу на это нажимать...,……我才不想点开……,클릭하고 싶지 않은걸……,
pc268,,,！！　イエハトブ・スタイラス……！！,Ихатов Стайлус! Я так и знал!,！！伊哈托夫·斯泰拉斯……！！,......!! 예하토브 스타일러스......!!,
,,,……つまり、このPCの持ち主は……,Так этот ПК принадлежал ему...,……那么，这台电脑就是……,"......즉, 이 PC의 주인은......",
pc269,,,…………………………,...,…………………………,........................,
pc343,,,……これ、地球語か？　さすがに読めないな。,"Чёрт, я не умею читать на земном.",……这是地球语吗？我实在看不懂了。,……이건 지구어인가? 역시 모르겠어.,
pc270,,,……これは、たぶん母さんだ。若い頃……,Это мама? Она такая молодая...,……桌面背景应该是妈妈吧。拍摄时……,......이건 젊은 시절의 엄마 모습이야......,"変更予定でしたがもとに戻しました（240827, かいだこ）"
,,,なんだろうけど、今とあんまり変わんないな。,Но я всё равно её узнаю.,她恐怕还很年轻，但跟现在差别不大。,"하지만, 지금과 별반 다르지 않네.",
